∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
862386.7346746724,3472.9619655800852,199.21133570984315,0.8022542140407438,0.0,0.8022542140407438,-0.0019296180018582832
865853.7632474682,3467.028572795773,200.012219310159,0.8008836003158422,0.0,0.8008836003158422,-0.0019296337648549505
869315.3800108576,3461.616763389442,200.81185278251021,0.7996334723512177,0.0,0.7996334723512177,-0.0019296488411948301
872770.9282578415,3455.5482469839603,201.61008442756352,0.7982316450533062,0.0,0.7982316450533062,-0.00192966340332118
876219.9309846299,3449.0027267883693,202.40680405745164,0.7967196298881163,0.0,0.7967196298881163,-0.0019296774157202723
879662.8534723332,3442.9224877032175,203.20211915210285,0.7953150946512153,0.0,0.7953150946512153,-0.001929690933642168
883099.8661890071,3437.012716673932,203.99606908965453,0.7939499375516732,0.0,0.7939499375516732,-0.0019297038762764603
886530.8418260237,3430.9756370165283,204.78862446181364,0.7925553721591143,0.0,0.7925553721591143,-0.001929716337923535
889955.6428105399,3424.800984516232,205.5797534892369,0.791129027423267,0.0,0.791129027423267,-0.0019297282765045405
893373.358175424,3417.715364884069,206.36924573852514,0.7894922492882301,0.0,0.7894922492882301,-0.0019297398475590275
896784.5759986979,3411.217823273901,207.15723705569314,0.7879913171680073,0.0,0.7879913171680073,-0.0019297509477001894
900189.6778499328,3405.1018512349183,207.9438155833367,0.7865785276435417,0.0,0.7865785276435417,-0.0019297616116000893
903588.1722164997,3398.4943665668306,208.72886778201362,0.7850521986769365,0.0,0.7850521986769365,-0.001929771831884931
906980.2046944677,3392.032477968049,209.51242728442426,0.7835595024106397,0.0,0.7835595024106397,-0.0019297816693943947
910365.76379399,3385.559099522287,210.29449143641392,0.7820641519896583,0.0,0.7820641519896583,-0.0019297910630955055
913743.1205109166,3377.3567169265225,211.07466083802396,0.7801694016100384,0.0,0.7801694016100384,-0.001929800257186629
917113.88866821,3370.768157293494,211.8533082823505,0.7786474443265377,0.0,0.7786474443265377,-0.0019298090264467853
920477.6467024118,3363.7580342017623,212.63033638825937,0.7770281059088688,0.0,0.7770281059088688,-0.0019298175103385096
923834.39194793,3356.745245518185,213.40574453997408,0.7754081517147142,0.0,0.7754081517147142,-0.0019298256169193102
927182.7700954122,3348.378147482124,214.17921989204248,0.7734753520684023,0.0,0.7734753520684023,-0.0019298335821620002
930523.6553792942,3340.885283882066,214.95096439261096,0.7717445005684738,0.0,0.7717445005684738,-0.0019298412299697716
933857.2230668191,3333.567687524981,215.7210185284375,0.7700541358265411,0.0,0.7700541358265411,-0.001929848645755107
937183.5768550251,3326.3537882059863,216.4894062535131,0.7683877250755984,0.0,0.7683877250755984,-0.0019298557488255342
940500.3314618737,3316.7546068485726,217.25557656769513,0.766170314182034,0.0,0.766170314182034,-0.0019298628199794956
943809.3344589737,3309.002997100052,218.01995626002522,0.7643796923300954,0.0,0.7643796923300954,-0.0019298696774984914
947110.6533777985,3301.318918824788,218.7825609302655,0.7626046702402789,0.0,0.7626046702402789,-0.001929876301220539
950401.8456101518,3291.1922323532817,219.54282633594738,0.7602654056818778,0.0,0.7602654056818778,-0.0019298829888419644
953684.721585793,3282.8759756411864,220.3011706863205,0.7583443503731075,0.0,0.7583443503731075,-0.0019247073069680728
